<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;20200630;000000;139.4400000;141.4600000;138.8600000;140.8800000;5719660
NLMK;D;20200702;000000;141.1200000;141.4000000;140.1000000;141.1000000;3006850
NLMK;D;20200703;000000;141.0400000;143.8200000;140.6200000;143.2000000;4017000
NLMK;D;20200706;000000;144.0600000;144.9800000;143.3200000;143.9800000;3324200
NLMK;D;20200707;000000;144.1200000;144.4800000;143.0200000;143.3000000;4339040
NLMK;D;20200708;000000;142.9600000;143.4600000;141.7800000;142.7800000;2871810
NLMK;D;20200709;000000;142.4400000;142.8200000;138.9200000;140.2200000;5680040
NLMK;D;20200710;000000;136.6400000;136.8600000;134.3600000;135.6400000;5802090
NLMK;D;20200713;000000;135.7000000;138.2000000;135.0000000;135.6400000;3114660
NLMK;D;20200714;000000;135.5000000;137.9000000;133.4000000;137.1000000;4764600
NLMK;D;20200715;000000;137.3000000;139.2600000;136.6800000;138.7200000;3524430
NLMK;D;20200716;000000;137.8600000;138.9600000;136.6000000;138.3000000;2133480
NLMK;D;20200717;000000;138.3000000;138.9200000;136.9400000;137.7400000;1686660
NLMK;D;20200720;000000;137.6000000;139.2600000;136.6800000;138.4800000;2268010
NLMK;D;20200721;000000;138.8200000;141.2800000;138.2000000;139.6000000;3712760
NLMK;D;20200722;000000;139.6000000;142.0800000;139.1800000;141.1800000;5074520
NLMK;D;20200723;000000;141.5400000;143.9000000;140.8400000;141.6600000;4537620
NLMK;D;20200724;000000;141.2000000;144.5000000;140.2200000;143.8400000;6145330
NLMK;D;20200727;000000;144.3000000;145.9800000;143.4600000;145.7000000;6024570
NLMK;D;20200728;000000;145.8800000;149.2000000;145.3800000;146.8600000;6692510
NLMK;D;20200729;000000;146.5600000;147.8400000;144.5000000;147.0400000;5393980
NLMK;D;20200730;000000;147.0000000;147.3600000;142.7800000;145.2800000;7317740
NLMK;D;20200731;000000;145.8800000;146.0000000;142.5800000;145.7200000;5836220
NLMK;D;20200803;000000;145.5600000;146.8000000;144.5200000;144.6800000;3497230
NLMK;D;20200804;000000;145.0000000;149.6200000;144.5200000;149.1000000;9936600
NLMK;D;20200805;000000;149.5400000;149.6800000;148.0800000;148.7000000;7057010
NLMK;D;20200806;000000;148.7600000;150.5000000;147.7200000;149.1600000;7018570
NLMK;D;20200807;000000;149.2200000;149.8200000;146.5200000;149.5000000;5089110
NLMK;D;20200810;000000;149.5000000;154.7400000;149.2400000;154.4000000;8517700
NLMK;D;20200811;000000;154.5800000;159.8400000;153.8400000;157.9400000;8743700
NLMK;D;20200812;000000;157.5200000;163.0400000;157.2600000;162.9800000;7560390
NLMK;D;20200813;000000;163.3400000;166.9800000;159.2800000;159.7600000;7649670
NLMK;D;20200814;000000;160.2600000;160.4800000;158.9200000;160.4800000;4797710
NLMK;D;20200817;000000;161.0000000;161.8600000;157.7200000;159.7000000;6105200
NLMK;D;20200818;000000;159.9600000;161.7800000;158.7600000;159.6800000;6054630
NLMK;D;20200819;000000;160.1200000;162.1800000;159.3400000;160.3200000;4360880
NLMK;D;20200820;000000;159.9000000;161.8600000;159.0800000;160.9600000;4090050
NLMK;D;20200821;000000;160.7400000;161.3400000;158.0800000;159.9200000;4322240
NLMK;D;20200824;000000;160.2600000;161.9800000;159.3200000;160.1800000;3792180
NLMK;D;20200825;000000;160.2800000;160.9400000;159.2800000;160.6200000;4378820
NLMK;D;20200826;000000;160.7200000;161.3000000;158.8200000;159.8000000;4465330
NLMK;D;20200827;000000;159.6800000;160.9400000;157.5400000;158.8200000;6364690
NLMK;D;20200828;000000;159.0800000;159.2400000;155.3800000;156.1000000;5990920
NLMK;D;20200831;000000;156.2200000;157.6400000;154.0800000;154.4800000;8708560
NLMK;D;20200901;000000;155.3800000;161.7600000;152.4000000;161.2800000;9152150
NLMK;D;20200902;000000;161.2400000;163.3800000;160.4800000;161.9000000;10419300
NLMK;D;20200903;000000;161.4600000;163.7400000;161.0600000;161.9200000;6554340
NLMK;D;20200904;000000;161.5000000;162.9400000;160.2200000;162.5000000;4461850
NLMK;D;20200907;000000;161.9800000;162.4800000;159.4400000;160.2000000;3775090
NLMK;D;20200908;000000;160.1800000;161.0000000;158.5200000;158.9800000;6399150
NLMK;D;20200909;000000;158.6000000;160.5600000;158.1000000;159.8600000;7423730
NLMK;D;20200910;000000;159.3200000;161.9600000;156.8800000;160.4400000;9758850
NLMK;D;20200911;000000;160.3000000;164.6600000;159.0200000;162.9800000;6344340
