<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LNZL;D;20200902;000000;17940.0000000;18040.0000000;17800.0000000;17840.0000000;299
LNZL;D;20200903;000000;17830.0000000;18170.0000000;17810.0000000;17930.0000000;520
LNZL;D;20200904;000000;17970.0000000;18150.0000000;17930.0000000;18030.0000000;476
LNZL;D;20200907;000000;18120.0000000;18130.0000000;17980.0000000;18070.0000000;282
LNZL;D;20200908;000000;18070.0000000;18090.0000000;17930.0000000;18020.0000000;260
LNZL;D;20200909;000000;18060.0000000;18100.0000000;17830.0000000;18100.0000000;402
LNZL;D;20200910;000000;18100.0000000;18130.0000000;18010.0000000;18100.0000000;224
LNZL;D;20200911;000000;17950.0000000;18160.0000000;17940.0000000;18090.0000000;351
LNZL;D;20200914;000000;18200.0000000;18200.0000000;18050.0000000;18060.0000000;197
LNZL;D;20200915;000000;18130.0000000;18200.0000000;18050.0000000;18130.0000000;367
LNZL;D;20200916;000000;18190.0000000;18540.0000000;18190.0000000;18420.0000000;785
LNZL;D;20200917;000000;18430.0000000;18600.0000000;18410.0000000;18550.0000000;529
LNZL;D;20200918;000000;18560.0000000;18660.0000000;18470.0000000;18470.0000000;317
LNZL;D;20200921;000000;18580.0000000;18600.0000000;18110.0000000;18150.0000000;675
LNZL;D;20200922;000000;18130.0000000;18960.0000000;18130.0000000;18590.0000000;3548
LNZL;D;20200923;000000;18600.0000000;18720.0000000;18440.0000000;18500.0000000;1137
LNZL;D;20200924;000000;18510.0000000;18700.0000000;18480.0000000;18550.0000000;464
LNZL;D;20200925;000000;18740.0000000;18740.0000000;18430.0000000;18500.0000000;509
LNZL;D;20200928;000000;18560.0000000;18600.0000000;18250.0000000;18590.0000000;476
LNZL;D;20200929;000000;18500.0000000;18600.0000000;18430.0000000;18430.0000000;240
LNZL;D;20200930;000000;18530.0000000;18790.0000000;18510.0000000;18750.0000000;775
LNZL;D;20201001;000000;18880.0000000;18900.0000000;18720.0000000;18830.0000000;740
